CpdClass	ENSO_Id	Smiles
E	MPI_BAG_646	O=C(C(C(C=CC=C1)=C1C=C2)=C2C3)C3(C4=CC=CC=C4N56)C5=CC7=C(C=C(C)C=C7)C6=O
E	MPI_BAG_675	O=C(C(C=CC(F)=C1)=C1C2)C2(C3=CC(Cl)=CC=C3N45)C4=CC6=CC=C(C)C=C6C5=O
E	MPI_BAG_760	O=C(C(C=CC=C1)=C1C2)C2(C3=CC=CC=C3N45)C4=CC6=C(C=C(OC)C(OC)=C6)C5=O
E	MPI_BAG_761	O=C(C(C=C(OC)C(OC)=C1)=C1C2)C2(C3=CC=CC=C3N45)C4=CC6=C(C=C(C)C=C6)C5=O
E	MPI_BAG_762	O=C(C(C=C(OC)C(OC)=C1)=C1C2)C2(C3=CC=CC=C3N45)C4=CC6=C(C=CC=C6)C5=O
E	MPI_BAG_771	O=C(C(C=C(OC)C=C1)=C1C2)C2(C3=CC(F)=CC=C3N45)C4=CC6=C(C=C(C)C=C6)C5=O
E	MPI_BAG_772	O=C(C(C=CC(OC)=C1)=C1C2)C2(C3=CC=CC=C3N45)C4=CC6=C(C=C(C)C=C6)C5=O
F	MPI_BAG_411	O=C1C(CC2=C3C=C(C)C=C2)(C)N3C4=CC=CC=C41
F	MPI_BAG_412	O=C1C(CC2=C3C=CC(OC)=C2)(C)N3C4=CC=CC=C41
F	MPI_BAG_413	O=C1C(CC2=C3C=C(OCO4)C4=C2)(C)N3C5=CC=CC=C51
F	MPI_BAG_414	O=C1C(CC2=C3C=C(C)C=C2)(C4=CC=CC=C4)N3C5=CC=CC=C51
F	MPI_BAG_415	O=C1C(CC2=C3C=C(Cl)C=C2)(C4=CC=CC=C4)N3C5=CC=CC=C51
F	MPI_BAG_416	O=C1C(CC2=C3C=C(F)C=C2)(C4=CC=CC=C4)N3C5=CC=CC=C51
F	MPI_BAG_417	O=C1C(CC2=C3C=C(OCO4)C4=C2)(C)N3C5=CC=C(C)C=C51
F	MPI_BAG_418	O=C1C(CC2=C3C=C(OCO4)C4=C2)(C5=CC=CC=C5)N3C6=CC=CC=C61
F	MPI_BAG_432	O=C1C(CC2=C3C=CC=C2F)(C4=CC=C(Cl)C=C4)N3C5=CC=CC=C51
F	MPI_BAG_503	O=C1C(CC2=C3C=CC=C2)(C4=CC=CC=C4)N3C5=CC=CC=C51
F	MPI_BAG_514	O=C1C(CC2=C3C=CC=C2F)(C)N3C4=CC=CC=C41
F	MPI_BAG_516	O=C1C(CC2=C3C=C(Cl)C=C2)(C)N3C4=CC=C(C)C=C41
F	MPI_BAG_517	O=C1C(CC2=C3C=CC=C2)(C4=CC=C(Cl)C=C4)N3C5=CC=CC=C51
F	MPI_BAG_518	O=C1C(CC2=C3C=CC(F)=C2)(C4=CC=C(Cl)C=C4)N3C5=CC=CC=C51
F	MPI_BAG_521	O=C1C(CC2=C3C=CC(F)=C2)(C4=CC=CC=C4)N3C5=CC=CC=C51
F	MPI_BAG_522	O=C1C(CC2=C3C=CC=C2)(C)N3C4=CC=C(C)C=C41
F	MPI_BAG_524	O=C1C(CC2=C3C=CC=C2)(C)N3C4=CC=C(Cl)C=C41
F	MPI_BAG_525	O=C1C(CC2=C3C=C(F)C=C2)(C4=CC=CC=C4)N3C5=CC=CC=C51
F	MPI_BAG_552	O=C1C(CC2=C3C=CC=C2F)(C)N3C4=CC=C(C)C=C41
F	MPI_BAG_554	O=C1C(CC2=C3C=CC=C2)(C)N3C4=CC=CC=C41
F	MPI_BAG_632	CC12C(C3=CC=CC=C3N1C(C=CC4=C5C=CC=C4)=C5C2)=O
F	MPI_BAG_812	O=C1C(C)(CC2=C3C(F)=CC=C2)N3C4=CC=CC=C41
F	MPI_BAG_815	O=C1C(C)(CC2=C3C=CC(F)=C2)N3C4=CC=C(Cl)C=C41
F	MPI_BAG_821	O=C1C(C)(CC2=C3C(C=CC=C4)=C4C=C2)N3C5=CC=C(F)C=C51
G	MPI_BAG_398	O=C1C(C=CC=C2)=C2CC3(C4=CC=CC=C4)N1C5=CC=CC=C5C3=O
G	MPI_BAG_399	O=C1C(C=CC=C2F)=C2CC3(C)N1C4=CC=CC=C4C3=O
G	MPI_BAG_400	O=C1C(C=C(C)C=C2)=C2CC3(C)N1C4=CC=CC=C4C3=O
G	MPI_BAG_401	O=C1C(C=CC(OC)=C2)=C2CC3(C)N1C4=CC=CC=C4C3=O
G	MPI_BAG_402	O=C1C(C=C(OCO2)C2=C3)=C3CC4(C)N1C5=CC=CC=C5C4=O
G	MPI_BAG_403	O=C1C(C=C(C)C=C2)=C2CC3(C4=CC=CC=C4)N1C5=CC=CC=C5C3=O
G	MPI_BAG_404	O=C1C(C=C(Cl)C=C2)=C2CC3(C4=CC=CC=C4)N1C5=CC=CC=C5C3=O
G	MPI_BAG_406	O=C1C(C=C(OCO2)C2=C3)=C3CC4(C)N1C5=CC=C(C)C=C5C4=O
G	MPI_BAG_407	O=C1C(C=C(OCO2)C2=C3)=C3CC4(C5=CC=CC=C5)N1C6=CC=CC=C6C4=O
G	MPI_BAG_527	O=C1C(C=CC(OC)=C2)=C2CC3(C4=CC=C(Cl)C=C4)N1C5=CC=CC=C5C3=O
G	MPI_BAG_528	O=C(C1=CC(C)=CC=C1N2C3=O)C2(CC4=C3C=C(Cl)C=C4)C
G	MPI_BAG_533	O=C1C(C=CC(F)=C2)=C2CC3(C4=CC=CC=C4)N1C5=CC=CC=C5C3=O
G	MPI_BAG_555	O=C1C(C=CC=C2)=C2CC3(C)N1C4=CC=CC=C4C3=O
G	MPI_BAG_681	O=C1C(CC2=C(C3=O)C(F)=CC=C2)(C)N3C4=CC=C(C)C=C41
G	MPI_BAG_683	O=C1C(CC2=C(C3=O)C=C(C)C=C2)(C)N3C4=CC=C(Cl)C=C41
G	MPI_BAG_685	O=C1C(CC2=C(C3=O)C=C(Cl)C=C2)(C)N3C4=CC=C(F)C=C41
G	MPI_BAG_695	O=C1C(C)(CC2=C(C3=O)C=CC(F)=C2)N3C4=CC=C(Cl)C=C41
G	MPI_BAG_809	O=C1C(C)(CC2=C(C3=O)C(C=CC=C4)=C4C=C2)N3C5=CC=C(F)C=C51
G	MPI_BAG_813	O=C1C(C)(CC2=C(C3=O)C(F)=CC=C2)N3C4=CC=CC=C41
G	MPI_BAG_817	O=C1C(CC2=C(C3=O)C=C(OC)C=C2)(C)N3C4=CC=C(F)C=C41
H	MPI_BAG_488	O=C1N2C3=CC=CC=C3C4C2=C(C5=C1C=CC=C5)OCC4
H	MPI_BAG_563	O=C1C(C=C(C)C=C2)=C2C3=C4N1C5=C(C=CC=C5)C4CCO3
H	MPI_BAG_699	O=C1N(C(C2CCO3)=C3C4=C1C=C(F)C=C4)C5=C2C=CC=C5
H	MPI_BAG_796	O=C1N(C(C2CCO3)=C3C4=C1C=C(OC)C=C4)C5=C2C=CC=C5
