Cpd_Id	DataSet	CpdClass	Comp_1	Comp_2	Comp_3
MPI_BAG_489	PNPs	B	-1.86824068256222	0.3303904817487893	-1.492901312464177
MPI_BAG_495	PNPs	B	-1.8250761976317864	-0.10365865826075585	-1.0656466949390524
MPI_BAG_509	PNPs	B	-1.7959511253787241	-0.1250674175914734	-1.0621499163566985
MPI_BAG_560	PNPs	B	-1.8886483173591124	0.3846043861771751	-1.3946035530363694
MPI_BAG_673	PNPs	B	-1.8647416554671128	0.16437130781056816	-1.231673609968827
MPI_BAG_674	PNPs	B	-1.8730036539616823	0.3502995552239485	-1.4951436626407237
MPI_BAG_704	PNPs	B	-1.0178937076191663	-0.4932558762180484	-1.251386368634537
MPI_BAG_705	PNPs	B	-1.089764467443909	-0.17951071147553013	-1.4198369505387034
MPI_BAG_706	PNPs	B	-1.5888473868036437	0.254927766987644	-1.0961047117659342
MPI_BAG_708	PNPs	B	-1.397811814265337	-0.11742718609198521	-2.146802353594398
MPI_BAG_709	PNPs	B	-1.231833637780721	-0.03194347789863534	-0.7955247582850589
MPI_BAG_764	PNPs	B	-1.8759805110863463	0.3627427261459229	-1.4965451315010654
MPI_BAG_768	PNPs	B	-1.2538051864359956	0.22839926833798224	-0.9690692234392478
MPI_BAG_769	PNPs	B	-1.1844050320819304	-0.07573946463348419	-0.809726975519896
MPI_BAG_770	PNPs	B	-1.5490517890351718	-0.04377016841732499	-0.9228130594448521
MPI_BAG_807	PNPs	B	-1.0445454568844692	-0.515940339206876	-1.2403902856233526
MPI_BAG_546	PNPs	C	-0.6606990453012468	0.34290817630001785	-2.294495532059828
MPI_BAG_551	PNPs	C	-0.6747848737005857	0.1730361766441984	-2.12351951241919
MPI_BAG_588	PNPs	C	-1.49364042008471	-0.037405804587292805	-1.1805855299675203
MPI_BAG_589	PNPs	C	-1.7634678197904372	-0.09936381539912084	-1.1736443686904598
MPI_BAG_591	PNPs	C	-1.1515244400354274	0.010865818747408036	-2.5659565398830475
MPI_BAG_593	PNPs	C	-1.7834045448587397	-0.04430341049432521	-1.1246926760400409
MPI_BAG_631	PNPs	C	-1.3958198110582887	0.1861919906533266	-1.7797098228107733
MPI_BAG_672	PNPs	C	-1.2841361010360082	-0.08323232511462429	-1.0708220983139005
MPI_BAG_691	PNPs	C	-0.4163542415796585	0.03657452048796653	-2.3830641090572655
MPI_BAG_692	PNPs	C	-0.6913519802704382	0.7108226567599907	-2.612483163727059
MPI_BAG_693	PNPs	C	-0.6441708659575728	0.6591675901541708	-2.725549470101106
MPI_BAG_694	PNPs	C	-0.3379516674775467	0.11328903152415924	-2.6662426529732772
MPI_BAG_746	PNPs	C	-0.6702249881001725	0.3827263232503359	-2.2989802324129207
MPI_BAG_747	PNPs	C	-0.604693200430693	0.5621963896297715	-2.6853829270157195
MPI_BAG_803	PNPs	C	-1.507641523780471	0.10321654516516635	-1.2242846246345647
MPI_BAG_810	PNPs	C	-0.5464411305049395	0.25744892455472784	-2.4307112803293403
MPI_BAG_811	PNPs	C	-1.150317536545936	0.5413163277903594	-1.3752770259790248
MPI_BAG_574	PNPs	D	-1.4400274564998516	0.20932713353669624	-1.4750654236013152
MPI_BAG_648	PNPs	D	-1.0520438974018953	0.1451121662209706	-2.494062869037274
MPI_BAG_649	PNPs	D	-1.5159679464625202	0.6163485581200292	-1.8744703689641387
MPI_BAG_650	PNPs	D	-0.7649430685368029	0.30619455088734143	-1.4750405697239621
MPI_BAG_651	PNPs	D	-1.2152218134360853	0.5112046196115583	-1.4811792644858448
MPI_BAG_657	PNPs	D	-0.7549901796162691	0.32163237257633703	-2.232572130545273
MPI_BAG_669	PNPs	D	-1.607622982616735	0.06049123067304088	-1.281354627460633
MPI_BAG_676	PNPs	D	-1.5141818321877212	0.6088826555668444	-1.8736294876479338
MPI_BAG_677	PNPs	D	-1.559249094553529	0.49726317464929903	-1.59755708342538
MPI_BAG_802	PNPs	D	-1.5509060187051376	0.27882502998694153	-1.4268270063831086
MPI_BAG_597	PNPs	E	-0.8370117746622255	0.2507486077196982	-3.1446711707872805
MPI_BAG_605	PNPs	E	0.10140132028595263	0.5044651801626071	-3.0402617134002914
